2.500000000000000000e+01 1.000000000000000021e-08
2.480000000000000071e+01 1.111988877352152779e-06
2.460000000000000142e+01 2.389906968111260375e-06
2.439999999999999858e+01 3.855163585773581103e-06
2.419999999999999929e+01 5.489522344269034893e-06
2.400000000000000000e+01 7.251199376331307183e-06
2.380000000000000071e+01 9.075737498171672040e-06
2.360000000000000142e+01 1.090272080225999475e-05
2.339999999999999858e+01 1.269733674332332386e-05
2.319999999999999929e+01 1.450002855149796474e-05
2.300000000000000000e+01 1.643697156038100186e-05
2.280000000000000071e+01 1.868139343620881638e-05
2.260000000000000142e+01 2.141776670863487924e-05
2.239999999999999858e+01 2.480165248280517709e-05
2.219999999999999929e+01 2.897141066449860326e-05
2.200000000000000000e+01 3.406618978245526288e-05
2.180000000000000071e+01 4.023753869333040236e-05
2.160000000000000142e+01 4.765383979091264487e-05
2.139999999999999858e+01 5.655393392130101055e-05
2.119999999999999929e+01 6.717841216035077038e-05
2.100000000000000000e+01 7.980940287590751513e-05
2.080000000000000071e+01 9.477895753699109649e-05
2.060000000000000142e+01 1.124740622347130775e-04
2.039999999999999858e+01 1.333411092283821810e-04
2.019999999999999929e+01 1.578965132416481904e-04
2.000000000000000000e+01 1.868582158472850653e-04
1.980000000000000071e+01 2.209099754427837922e-04
1.960000000000000142e+01 2.608648539829380502e-04
1.939999999999999858e+01 3.076633106178124620e-04
1.919999999999999929e+01 3.623863471624096826e-04
1.900000000000000000e+01 4.262699991379212774e-04
1.880000000000000071e+01 5.007129738762215818e-04
1.860000000000000142e+01 5.873810468847236350e-04
1.839999999999999858e+01 6.884199451135875536e-04
1.819999999999999929e+01 8.059068286096444456e-04
1.800000000000000000e+01 9.422690553096854616e-04
1.780000000000000071e+01 1.100283311798046877e-03
1.760000000000000142e+01 1.283111219529190373e-03
1.739999999999999858e+01 1.494342392416753238e-03
1.719999999999999929e+01 1.738040081130264557e-03
1.700000000000000000e+01 2.018778082347236387e-03
1.679999999999999716e+01 2.341569712075404659e-03
1.660000000000000142e+01 2.713431958418372099e-03
1.639999999999999858e+01 3.141216889164637812e-03
1.619999999999999929e+01 3.632430224028382077e-03
1.600000000000000000e+01 4.195620412667598609e-03
1.579999999999999893e+01 4.840409217612056357e-03
1.559999999999999964e+01 5.577568931307359985e-03
1.539999999999999858e+01 6.419108323864068134e-03
1.519999999999999929e+01 7.378363088150746013e-03
1.500000000000000000e+01 8.470087967001148702e-03
1.479999999999999893e+01 9.710542862753900398e-03
1.459999999999999964e+01 1.111753946513440068e-02
1.439999999999999858e+01 1.271021741709112834e-02
1.419999999999999929e+01 1.451313761136982863e-02
1.400000000000000000e+01 1.655310562175194358e-02
1.379999999999999893e+01 1.885587517596536145e-02
1.359999999999999964e+01 2.145040389271588716e-02
1.339999999999999858e+01 2.436861730410315105e-02
1.319999999999999929e+01 2.764555316965216711e-02
1.300000000000000000e+01 3.131955834002540795e-02
1.279999999999999893e+01 3.543252890288847712e-02
1.259999999999999964e+01 4.003005932234367931e-02
1.239999999999999858e+01 4.516174554303119260e-02
1.219999999999999929e+01 5.088136330103838062e-02
1.200000000000000000e+01 5.724704822334654442e-02
1.179999999999999893e+01 6.432143429367395693e-02
1.159999999999999964e+01 7.217173601992739329e-02
1.139999999999999858e+01 8.086974181117552452e-02
1.119999999999999929e+01 9.049164064718108469e-02
1.100000000000000000e+01 1.011175287401649692e-01
1.079999999999999893e+01 1.128270911270589788e-01
1.059999999999999964e+01 1.257432296224941515e-01
1.039999999999999858e+01 1.399644041949325290e-01
1.019999999999999929e+01 1.555883460592242806e-01
1.000000000000000000e+01 1.727204349377349790e-01
9.799999999999998934e+00 1.914720749865140847e-01
9.599999999999999645e+00 2.119604664443278663e-01
9.399999999999998579e+00 2.343086228409308469e-01
9.199999999999999289e+00 2.587185951290194574e-01
9.000000000000000000e+00 2.850841698184882755e-01
8.800000000000000711e+00 3.138162294493714866e-01
8.599999999999997868e+00 3.449564315454849428e-01
8.399999999999998579e+00 3.786635692065626890e-01
8.199999999999999289e+00 4.150990173006096073e-01
8.000000000000000000e+00 4.544319745436797287e-01
7.800000000000000711e+00 4.968401304199104862e-01
7.599999999999997868e+00 5.425109794388290885e-01
7.399999999999998579e+00 5.916437698314918059e-01
7.199999999999999289e+00 6.444524057129890071e-01
7.000000000000000000e+00 7.011698907670174119e-01
6.800000000000000711e+00 7.620549315824881598e-01
6.599999999999997868e+00 8.274017723477133934e-01
6.399999999999998579e+00 8.975549590493914209e-01
6.199999999999999289e+00 9.729316589187365638e-01
6.000000000000000000e+00 1.000000000000000000e+00
5.799999999999997158e+00 1.000000000000000000e+00
5.599999999999997868e+00 1.000000000000000000e+00
5.399999999999998579e+00 1.000000000000000000e+00
5.199999999999999289e+00 1.000000000000000000e+00
5.000000000000000000e+00 1.000000000000000000e+00
4.799999999999997158e+00 1.000000000000000000e+00
4.599999999999997868e+00 1.000000000000000000e+00
4.399999999999998579e+00 1.000000000000000000e+00
4.199999999999999289e+00 1.000000000000000000e+00
4.000000000000000000e+00 1.000000000000000000e+00
3.799999999999997158e+00 1.000000000000000000e+00
3.599999999999997868e+00 1.000000000000000000e+00
3.399999999999998579e+00 1.000000000000000000e+00
3.199999999999999289e+00 1.000000000000000000e+00
3.000000000000000000e+00 1.000000000000000000e+00
2.799999999999997158e+00 1.000000000000000000e+00
2.599999999999997868e+00 1.000000000000000000e+00
2.399999999999998579e+00 1.000000000000000000e+00
2.199999999999999289e+00 1.000000000000000000e+00
2.000000000000000000e+00 1.000000000000000000e+00
