# redshift T_b[mK]
2.094894894894894932e+01 -1.018942807319260453e+02
2.092992992992992995e+01 -1.114148982728639368e+02
2.091091091091091059e+01 -1.005125064475053449e+02
2.089189189189189122e+01 -1.156564416000253459e+02
2.087287287287287185e+01 -1.101084141717749105e+02
2.085385385385385248e+01 -1.123919737649261208e+02
2.083483483483483667e+01 -1.065038262395827786e+02
2.081581581581581730e+01 -8.394637546432429076e+01
2.079679679679679793e+01 -1.255222207785955391e+02
2.077777777777777857e+01 -9.972980146655605438e+01
2.075875875875875920e+01 -1.224486799256679603e+02
2.073973973973973983e+01 -1.107563199446145035e+02
2.072072072072072046e+01 -9.484944544600563177e+01
2.070170170170170110e+01 -1.047846613787041861e+02
2.068268268268268173e+01 -1.158800701561676476e+02
2.066366366366366236e+01 -1.119175922043685318e+02
2.064464464464464299e+01 -9.761739519608045157e+01
2.062562562562562363e+01 -1.113528619980519636e+02
2.060660660660660426e+01 -1.015075571274361721e+02
2.058758758758758844e+01 -1.028265986400724046e+02
2.056856856856856908e+01 -1.093958342988646137e+02
2.054954954954954971e+01 -8.102538879364075797e+01
2.053053053053053034e+01 -9.569758431215480243e+01
2.051151151151151097e+01 -1.218407333968678046e+02
2.049249249249249161e+01 -9.926628309930083560e+01
2.047347347347347224e+01 -1.072792199060166780e+02
2.045445445445445287e+01 -9.165659965560442402e+01
2.043543543543543706e+01 -1.076148050284606086e+02
2.041641641641641769e+01 -1.003347712946712420e+02
2.039739739739739832e+01 -9.362452657632442765e+01
2.037837837837837895e+01 -8.949303120600743000e+01
2.035935935935935959e+01 -1.096190260886448584e+02
2.034034034034034022e+01 -1.004159177009396160e+02
2.032132132132132085e+01 -1.012646573341559701e+02
2.030230230230230148e+01 -1.024823681578887147e+02
2.028328328328328212e+01 -7.771807997177688776e+01
2.026426426426426275e+01 -9.073613844247266513e+01
2.024524524524524338e+01 -1.067980375129178157e+02
2.022622622622622401e+01 -8.440386318676402766e+01
2.020720720720720465e+01 -7.174438628096586967e+01
2.018818818818818883e+01 -8.201503856165923878e+01
2.016916916916916946e+01 -1.068975413798607121e+02
2.015015015015015010e+01 -9.590092234837726437e+01
2.013113113113113073e+01 -7.773495774056496543e+01
2.011211211211211136e+01 -9.681716832579574827e+01
2.009309309309309199e+01 -8.462978843557823438e+01
2.007407407407407263e+01 -8.064043176472412711e+01
2.005505505505505681e+01 -9.696633793848280902e+01
2.003603603603603744e+01 -8.759420783654789489e+01
2.001701701701701808e+01 -1.187054075475173534e+02
1.999799799799799871e+01 -9.582245228332254783e+01
1.997897897897897934e+01 -8.738229877623119535e+01
1.995995995995995997e+01 -9.660492833119316458e+01
1.994094094094094061e+01 -6.706613073608792774e+01
1.992192192192192124e+01 -9.694769015777694676e+01
1.990290290290290187e+01 -8.629585788141322666e+01
1.988388388388388250e+01 -7.983048076167359852e+01
1.986486486486486314e+01 -6.596119372401429359e+01
1.984584584584584377e+01 -9.396238741301760911e+01
1.982682682682682440e+01 -6.719599646079112176e+01
1.980780780780780859e+01 -7.794344132230799005e+01
1.978878878878878922e+01 -8.707347120364576654e+01
1.976976976976976985e+01 -7.184466038533074084e+01
1.975075075075075048e+01 -7.367736298185414512e+01
1.973173173173173112e+01 -8.086760754346617830e+01
1.971271271271271175e+01 -7.336034904685187996e+01
1.969369369369369238e+01 -7.710013495950776985e+01
1.967467467467467301e+01 -7.129640008018577646e+01
1.965565565565565720e+01 -6.499103126622344462e+01
1.963663663663663783e+01 -5.492937357870166437e+01
1.961761761761761846e+01 -8.234157859439312688e+01
1.959859859859859910e+01 -4.780389113629271236e+01
1.957957957957957973e+01 -8.782301383360766067e+01
1.956056056056056036e+01 -6.898528419382532206e+01
1.954154154154154099e+01 -6.074718755157707051e+01
1.952252252252252163e+01 -6.298124419866492474e+01
1.950350350350350226e+01 -7.117707510702217633e+01
1.948448448448448289e+01 -6.618856905979521343e+01
1.946546546546546352e+01 -6.819320635987857315e+01
1.944644644644644416e+01 -6.831129538743519447e+01
1.942742742742742479e+01 -5.306790585848636255e+01
1.940840840840840897e+01 -5.714040496166764882e+01
1.938938938938938961e+01 -6.678667106017489630e+01
1.937037037037037024e+01 -5.000903809479181916e+01
1.935135135135135087e+01 -5.508004345254083489e+01
1.933233233233233150e+01 -4.917303680490890372e+01
1.931331331331331214e+01 -5.015469350242353386e+01
1.929429429429429277e+01 -6.389104526910736581e+01
1.927527527527527695e+01 -6.035390077109073559e+01
1.925625625625625759e+01 -4.643112425476790150e+01
1.923723723723723822e+01 -4.695340129304860710e+01
1.921821821821821885e+01 -5.242034145901197206e+01
1.919919919919919948e+01 -5.019354902797701357e+01
1.918018018018018012e+01 -3.774699684192469817e+01
1.916116116116116075e+01 -5.559766896669679426e+01
1.914214214214214138e+01 -4.337088782058059167e+01
1.912312312312312201e+01 -5.002540422379207996e+01
1.910410410410410265e+01 -4.934373254273411646e+01
1.908508508508508328e+01 -3.534453848995519820e+01
1.906606606606606391e+01 -3.724559159430341282e+01
1.904704704704704454e+01 -3.653428455751713244e+01
1.902802802802802873e+01 -3.078651699400199249e+01
1.900900900900900936e+01 -4.280560907332818488e+01
1.898998998998998999e+01 -3.537296832512429035e+01
1.897097097097097063e+01 -4.447463715943326434e+01
1.895195195195195126e+01 -3.731254744320256123e+01
1.893293293293293189e+01 -4.104076945235350138e+01
1.891391391391391252e+01 -3.795751243504781058e+01
1.889489489489489316e+01 -3.216715800438738881e+01
1.887587587587587734e+01 -4.549543038823394170e+01
1.885685685685685797e+01 -1.558720165913373634e+01
1.883783783783783861e+01 -4.577256617701401353e+01
1.881881881881881924e+01 -4.705917600742804296e+01
1.879979979979979987e+01 -2.254476991038345801e+01
1.878078078078078050e+01 -2.542158975277155974e+01
1.876176176176176114e+01 -2.631325668744843682e+01
1.874274274274274177e+01 -2.549124537538562763e+01
1.872372372372372240e+01 -3.112152367215627535e+01
1.870470470470470303e+01 -3.920016538282560248e+01
1.868568568568568367e+01 -2.870244985347813227e+01
1.866666666666666430e+01 -3.546939086413905784e+01
1.864764764764764493e+01 -1.818835267658098331e+01
1.862862862862862912e+01 -2.865648731943376504e+01
1.860960960960960975e+01 -3.469192375378418092e+01
1.859059059059059038e+01 -2.890658899924683212e+01
1.857157157157157101e+01 -2.082401425617958424e+01
1.855255255255255165e+01 -2.985609209895892491e+01
1.853353353353353228e+01 -3.171156572494302139e+01
1.851451451451451291e+01 -2.032807554484161372e+01
1.849549549549549710e+01 -1.959600982281316917e+01
1.847647647647647773e+01 -2.640104431439813482e+01
1.845745745745745836e+01 -2.533320681796023877e+01
1.843843843843843899e+01 -1.759887216622965411e+01
1.841941941941941963e+01 -3.370215699392672093e+01
1.840040040040040026e+01 -3.260334283498985997e+01
1.838138138138138089e+01 -2.502600905079998128e+01
1.836236236236236152e+01 -1.929445152605698155e+01
1.834334334334334216e+01 -1.337054961370320072e+01
1.832432432432432279e+01 -1.051912415923661470e+00
1.830530530530530342e+01 -6.560991341089282614e+00
1.828628628628628405e+01 -1.607528764208063876e+01
1.826726726726726469e+01 -1.401052281827117696e+01
1.824824824824824887e+01 -2.319620307390054847e+01
1.822922922922922950e+01 -1.271262996379669730e+01
1.821021021021021014e+01 -1.477666779723602986e+01
1.819119119119119077e+01 -8.031417657045260228e+00
1.817217217217217140e+01 -1.890533286266822444e+01
1.815315315315315203e+01 -4.819851854251226086e+00
1.813413413413413267e+01 5.927940135011246170e+00
1.811511511511511330e+01 -9.878988086350954489e+00
1.809609609609609748e+01 -4.171981798445841605e+00
1.807707707707707812e+01 -6.911175559939994884e-01
1.805805805805805875e+01 -1.101393906549781576e+01
1.803903903903903938e+01 -4.175679040189594460e+00
1.802002002002002001e+01 -5.711217696665388921e+00
1.800100100100100065e+01 -4.286563419084066240e+00
1.798198198198198128e+01 -1.242521659249490540e+01
1.796296296296296191e+01 -3.887414012347845116e+00
1.794394394394394254e+01 1.404487420204743486e+00
1.792492492492492318e+01 1.148739804914148799e+01
1.790590590590590381e+01 7.114584358390057872e+00
1.788688688688688444e+01 1.959409043758870794e+01
1.786786786786786507e+01 -9.076325614174137968e+00
1.784884884884884926e+01 7.849753520542488872e+00
1.782982982982982989e+01 1.483895769968183398e+00
1.781081081081081052e+01 2.206698341312506884e+01
1.779179179179179116e+01 -7.400982909923682129e+00
1.777277277277277179e+01 -7.207588875539761020e+00
1.775375375375375242e+01 -4.302064653591481047e+00
1.773473473473473305e+01 -1.905024165906776190e+01
1.771571571571571724e+01 -2.577340092547307560e+00
1.769669669669669787e+01 -4.424961702986012213e+00
1.767767767767767850e+01 5.151137765547056269e+00
1.765865865865865914e+01 7.540295306448264512e+00
1.763963963963963977e+01 2.335470097811414902e+01
1.762062062062062040e+01 1.456223063570592302e+01
1.760160160160160103e+01 -2.512799251576822712e-01
1.758258258258258167e+01 -3.011855618675927104e+00
1.756356356356356230e+01 1.134082237219984179e+01
1.754454454454454293e+01 -6.336531819105336361e+00
1.752552552552552356e+01 2.561941169286351538e+01
1.750650650650650419e+01 1.953312795809326374e+01
1.748748748748748483e+01 3.475777033809738903e+00
1.746846846846846901e+01 -8.540074798404644341e+00
1.744944944944944965e+01 2.254868798847702749e+01
1.743043043043043028e+01 8.278243457481529788e+00
1.741141141141141091e+01 2.221049430337460961e+01
1.739239239239239154e+01 -5.708229974690471664e+00
1.737337337337337217e+01 4.641057071652610055e+00
1.735435435435435281e+01 1.108110021239934184e+01
1.733533533533533344e+01 1.188745051562644406e+01
1.731631631631631763e+01 7.301127540017174233e+00
1.729729729729729826e+01 1.840960718496444315e+01
1.727827827827827889e+01 1.879448809304600232e+00
1.725925925925925952e+01 1.150336469710015130e+01
1.724024024024024015e+01 1.449677233823411449e+01
1.722122122122122079e+01 1.879993327511598977e+01
1.720220220220220142e+01 2.112857345431640255e+01
1.718318318318318205e+01 3.118059561665948110e+00
1.716416416416416268e+01 -6.293167892037434541e-01
1.714514514514514332e+01 2.783130230532190552e+01
1.712612612612612395e+01 1.871581510447003183e+01
1.710710710710710458e+01 8.241447217248184742e+00
1.708808808808808521e+01 3.156702917474952841e+01
1.706906906906906940e+01 1.753707193172673939e+01
1.705005005005005003e+01 2.849379099649659963e+01
1.703103103103103066e+01 1.769223195891121492e+01
1.701201201201201130e+01 3.793654313924518107e+01
1.699299299299299193e+01 3.519030179058867702e+01
1.697397397397397256e+01 1.545092222029542839e+01
1.695495495495495675e+01 2.795588277149902723e+01
1.693593593593593738e+01 2.498953038946802963e+01
1.691691691691691801e+01 3.251371927259459937e+01
1.689789789789789864e+01 9.465883367921200886e+00
1.687887887887887928e+01 2.625947370167316564e+01
1.685985985985985991e+01 3.026321562786145591e+01
1.684084084084084054e+01 2.367800959640820935e+00
1.682182182182182117e+01 8.395091919413697923e+00
1.680280280280280181e+01 1.041337584998558441e-01
1.678378378378378244e+01 1.806741370801884727e+01
1.676476476476476307e+01 2.819828932488274376e+01
1.674574574574574370e+01 3.630423467691573336e+01
1.672672672672672434e+01 2.227586054960340434e+01
1.670770770770770497e+01 3.807180553538922396e+01
1.668868868868868560e+01 8.231899010545019379e+00
1.666966966966966979e+01 5.242915899350073516e+00
1.665065065065065042e+01 2.196168928693061417e+01
1.663163163163163105e+01 2.659488165032842488e+01
1.661261261261261168e+01 2.266101136599192856e+01
1.659359359359359232e+01 2.543930621174691709e+00
1.657457457457457650e+01 2.255419398287242672e+01
1.655555555555555713e+01 1.062451229245328577e+01
1.653653653653653777e+01 3.058654989827956427e+01
1.651751751751751840e+01 2.777326209531177881e+01
1.649849849849849903e+01 1.492280806848719443e+01
1.647947947947947966e+01 1.939416711273396743e+01
1.646046046046046030e+01 1.414886870738496150e+01
1.644144144144144093e+01 2.431935022933366852e+01
1.642242242242242156e+01 3.469970343007964431e+01
1.640340340340340219e+01 1.549019280795609532e+01
1.638438438438438283e+01 3.058402183074658609e+01
1.636536536536536346e+01 2.043414868253125505e+01
1.634634634634634409e+01 1.799828992043933340e+01
1.632732732732732472e+01 2.504416472648536995e+01
1.630830830830830536e+01 1.594668301664706256e+01
1.628928928928928599e+01 2.094446958435628403e+01
1.627027027027027017e+01 1.468128892812593378e+01
1.625125125125125081e+01 4.648370442702544381e+01
1.623223223223223144e+01 2.736278381688844874e+01
1.621321321321321207e+01 2.018392854712970674e+01
1.619419419419419270e+01 2.948932777281390827e+01
1.617517517517517689e+01 2.639245029359623729e+01
1.615615615615615752e+01 2.546965053154999126e+01
1.613713713713713815e+01 3.398199146983989039e+01
1.611811811811811879e+01 3.557378789531542651e+01
1.609909909909909942e+01 2.284953884009670233e+01
1.608008008008008005e+01 2.254970331377111492e+01
1.606106106106106068e+01 2.570824153260097589e+01
1.604204204204204132e+01 5.587997795842117199e+00
1.602302302302302195e+01 1.360136677800823080e+01
1.600400400400400258e+01 4.256574281636364532e+01
1.598498498498498499e+01 4.548790453041858939e+01
1.596596596596596562e+01 2.668676847289548704e+01
1.594694694694694626e+01 3.507935833797958480e+01
1.592792792792792689e+01 3.256074190089226050e+01
1.590890890890890752e+01 6.036932475219147420e+01
1.588988988988988993e+01 4.090639892606022698e+01
1.587087087087087056e+01 2.855949480989158928e+01
1.585185185185185119e+01 2.040920513765618338e+01
1.583283283283283183e+01 1.402403303943070512e+01
1.581381381381381246e+01 3.224499580170986235e+01
1.579479479479479487e+01 2.276664406051744294e+01
1.577577577577577550e+01 1.622523512959806880e+01
1.575675675675675613e+01 2.409771999170312995e+01
1.573773773773773677e+01 1.986172796015818065e+01
1.571871871871871740e+01 4.766049163005155265e+01
1.569969969969969981e+01 3.971547349661506132e+01
1.568068068068068044e+01 3.092750880250298806e+01
1.566166166166166107e+01 4.591301874625699497e+01
1.564264264264264170e+01 3.199180922611981615e+01
1.562362362362362234e+01 2.270806321721068599e+01
1.560460460460460297e+01 4.665317849080367552e+01
1.558558558558558538e+01 3.691010136643729567e+01
1.556656656656656601e+01 2.124581957381452568e+01
